Round Number,Agent That Won,Time Taken(s),Fuzzy Bullets Fired,Fuzzy Bullets Hit,Finite Bullets Fired,Finite Bullets Hit,Fuzzy Move To Target Count,Fuzzy HidingCount,Fuzzy Shooting Count,Fuzzy Reloading Count,Finite Move To Target Count,Finite HidingCount,Finite Shooting Count,Finite Reloading Count,Time Stamp
1,FSM,51.02266,25,11,25,12,47,48,19,5,8,4,8,5,09/03/2020 14:23
2,FUSM,50.71591,29,12,27,12,42,38,24,5,6,4,7,5,09/03/2020 14:23
3,FUSM,44.59731,23,13,24,12,27,24,20,5,6,4,6,5,09/03/2020 14:23
4,FSM,45.73366,23,12,25,12,30,29,18,5,7,5,8,4,09/03/2020 14:23
5,FUSM,43.96761,23,12,19,10,17,33,17,4,8,13,11,4,09/03/2020 14:23
6,FSM,45.85056,18,8,25,12,43,51,15,4,7,4,7,4,09/03/2020 14:23
7,FSM,33.35645,19,11,17,13,16,11,17,3,5,9,10,3,09/03/2020 14:23
8,FSM,62.55505,23,11,29,13,62,60,19,4,12,8,11,5,09/03/2020 14:23
9,FUSM,34.47244,22,12,13,4,16,9,16,4,5,12,11,3,09/03/2020 14:23
10,FSM,57.28729,21,13,31,12,29,28,18,6,12,15,17,8,09/03/2020 14:23
11,FSM,54.83804,16,10,20,13,31,26,15,3,6,3,6,3,09/03/2020 14:23
12,FUSM,35.56842,19,12,19,11,14,15,14,3,5,8,9,3,09/03/2020 14:23
13,FUSM,28.55548,19,13,10,3,13,8,14,3,5,9,8,3,09/03/2020 14:23
14,FSM,48.39191,22,11,21,12,44,45,18,5,8,4,8,4,09/03/2020 14:23
15,FSM,59.08325,27,11,27,13,62,60,22,6,9,5,9,6,09/03/2020 14:23
16,FSM,59.47162,20,8,25,13,43,47,16,3,9,4,9,5,09/03/2020 14:23
17,FUSM,42.89801,22,12,20,7,17,11,18,4,10,22,18,6,09/03/2020 14:23
18,FUSM,53.34198,22,13,26,12,50,46,18,4,11,15,16,6,09/03/2020 14:24
19,FUSM,36.37811,19,13,20,11,14,12,14,4,6,6,8,3,09/03/2020 14:24
20,FUSM,66.19177,26,13,24,12,50,47,23,6,10,8,12,6,09/03/2020 14:24
21,FUSM,45.22192,24,13,25,10,19,16,19,5,10,16,15,4,09/03/2020 14:24
22,FSM,32.07147,18,4,19,12,21,20,14,3,4,2,5,3,09/03/2020 14:24
23,FSM,37.52502,19,9,20,13,28,26,17,4,6,3,6,3,09/03/2020 14:24
24,FUSM,36.85803,20,12,20,12,16,16,16,4,6,5,7,4,09/03/2020 14:24
25,FUSM,71.20154,33,13,34,11,28,22,28,7,14,16,18,7,09/03/2020 14:24
26,FUSM,39.20129,21,13,19,10,20,18,16,4,5,5,7,4,09/03/2020 14:24
27,FUSM,39.65576,23,13,17,7,17,12,17,4,5,7,9,3,09/03/2020 14:24
28,FSM,47.39783,24,12,29,12,26,22,21,5,11,13,13,7,09/03/2020 14:24
29,FUSM,48.97583,24,12,30,13,21,18,21,5,11,14,13,7,09/03/2020 14:24
30,FSM,35.85742,18,8,18,12,48,47,15,3,5,2,5,3,09/03/2020 14:24
31,FUSM,55.71802,29,12,29,13,50,49,21,5,12,13,14,5,09/03/2020 14:24
32,FUSM,37.89124,21,13,13,5,16,9,17,4,9,12,11,2,09/03/2020 14:24
33,FUSM,62.46631,34,13,34,12,28,22,28,6,9,10,11,6,09/03/2020 14:24
34,FUSM,45.08362,24,13,25,8,25,24,18,5,7,8,10,5,09/03/2020 14:24
35,FSM,53.34033,22,10,25,12,60,57,18,5,8,3,8,5,09/03/2020 14:24
36,FUSM,47.07898,24,12,24,11,33,28,21,4,10,16,15,8,09/03/2020 14:24
37,FSM,36.84534,17,10,22,12,37,34,14,3,5,4,5,5,09/03/2020 14:24
38,FSM,48.26733,23,9,24,13,43,43,18,5,7,3,7,4,09/03/2020 14:24
39,FSM,43.54749,24,11,24,13,26,24,22,4,6,3,6,4,09/03/2020 14:24
40,FUSM,71.81396,31,12,25,11,64,58,28,7,7,5,6,5,09/03/2020 14:24
41,FSM,46.89026,14,10,24,12,34,41,11,2,6,4,6,5,09/03/2020 14:24
42,FUSM,47.35632,22,12,19,10,27,24,19,5,10,14,13,4,09/03/2020 14:24
43,FSM,57.11487,27,13,28,12,51,46,24,5,10,12,12,7,09/03/2020 14:25
44,FSM,59.74707,27,11,32,13,30,24,24,5,8,5,9,6,09/03/2020 14:25
45,FSM,49.77905,22,12,22,13,57,55,19,4,6,3,6,4,09/03/2020 14:25
46,FSM,36.6687,23,12,25,13,30,30,17,4,6,4,6,4,09/03/2020 14:25
47,FSM,50.97607,18,6,27,13,27,31,13,6,7,5,7,5,09/03/2020 14:25
48,FUSM,57.76318,21,12,24,11,24,23,16,6,13,12,15,5,09/03/2020 14:25
49,FUSM,45.44849,23,13,22,9,20,15,20,4,13,16,14,5,09/03/2020 14:25
50,FSM,50.92358,22,12,25,12,23,23,17,5,12,10,13,4,09/03/2020 14:25
51,FUSM,37.89648,16,12,14,8,13,10,13,4,6,12,12,4,09/03/2020 14:25
52,FSM,38.5979,16,7,24,12,11,13,14,4,5,3,5,4,09/03/2020 14:25
53,FSM,43.29224,19,6,22,13,24,23,14,4,6,4,6,5,09/03/2020 14:25
54,FUSM,56.60327,23,12,27,12,35,30,23,5,10,10,11,7,09/03/2020 14:25
55,FSM,45.87256,22,11,22,12,28,28,17,5,7,4,7,5,09/03/2020 14:25
56,FUSM,67.31909,36,12,35,13,33,32,28,8,10,7,10,7,09/03/2020 14:25
57,FSM,45.05054,23,10,23,12,31,29,17,5,7,2,7,4,09/03/2020 14:25
58,FUSM,52.59033,25,12,25,11,27,27,19,5,9,10,10,5,09/03/2020 14:25
59,FUSM,37.92212,16,13,15,10,19,17,13,4,6,3,6,3,09/03/2020 14:25
60,FUSM,47.41919,24,13,21,11,43,42,20,5,7,4,7,4,09/03/2020 14:25
61,FSM,55.42236,30,13,30,12,46,46,23,6,8,5,8,6,09/03/2020 14:25
62,FUSM,44.22876,27,12,18,10,23,16,24,5,6,8,10,3,09/03/2020 14:25
63,FUSM,52.34546,23,13,19,11,50,50,19,5,7,3,6,4,09/03/2020 14:25
64,FSM,56.00708,30,13,29,12,46,45,25,5,7,5,7,5,09/03/2020 14:25
65,FSM,56.80225,27,11,26,13,48,55,23,5,7,5,7,5,09/03/2020 14:25
66,FUSM,39.62817,19,12,20,12,14,12,14,4,8,12,11,3,09/03/2020 14:25
67,FUSM,44.74976,24,13,22,11,26,24,18,4,9,10,12,4,09/03/2020 14:26
68,FUSM,45.14331,21,13,19,9,21,17,18,4,10,9,10,6,09/03/2020 14:26
69,FUSM,37.50562,20,13,20,10,25,23,15,4,6,9,10,3,09/03/2020 14:26
70,FUSM,47.52222,21,13,20,10,44,42,18,5,7,4,7,4,09/03/2020 14:26
71,FUSM,46.08618,23,13,21,9,28,28,17,5,8,6,10,4,09/03/2020 14:26
72,FSM,51.75391,23,13,24,12,40,41,17,4,6,4,6,4,09/03/2020 14:26
73,FSM,63.18994,27,9,22,13,45,41,23,6,7,4,7,4,09/03/2020 14:26
74,FUSM,31.48511,20,12,20,10,16,13,16,3,4,9,8,5,09/03/2020 14:26
75,FSM,45.28516,24,11,24,12,43,41,20,4,6,3,6,4,09/03/2020 14:26
76,FSM,26.24561,15,8,17,13,25,23,14,4,5,2,5,4,09/03/2020 14:26
77,FUSM,39.45337,20,12,19,8,13,9,14,4,13,17,16,4,09/03/2020 14:26
78,FUSM,45.69922,23,13,22,12,29,28,20,5,7,5,8,4,09/03/2020 14:26
79,FUSM,40.87158,21,13,19,11,16,18,16,4,5,6,9,4,09/03/2020 14:26
80,FSM,54.90625,22,10,20,12,44,40,19,6,8,3,8,4,09/03/2020 14:26
81,FUSM,60.98999,31,12,29,11,26,24,23,7,10,13,15,6,09/03/2020 14:26
82,FUSM,26.59229,18,13,5,3,13,5,14,3,4,2,3,1,09/03/2020 14:26
83,FSM,44.40015,22,13,22,12,26,27,17,5,7,4,7,5,09/03/2020 14:26
84,FUSM,50.17236,26,12,24,13,30,26,22,5,9,10,10,5,09/03/2020 14:26
85,FSM,43.07886,21,13,22,12,17,16,17,5,8,7,11,5,09/03/2020 14:26
86,FUSM,54.01074,26,12,25,12,45,45,20,6,8,9,10,6,09/03/2020 14:26
87,FUSM,54.21655,25,13,25,9,39,36,20,4,6,5,6,4,09/03/2020 14:26
88,FUSM,55.27197,30,13,24,10,33,22,26,6,11,12,14,5,09/03/2020 14:26
89,FUSM,61.63135,31,13,30,12,33,33,24,7,10,16,16,6,09/03/2020 14:26
90,FSM,60.87891,26,11,31,12,42,41,21,6,9,7,9,8,09/03/2020 14:26
91,FUSM,54.50684,22,12,19,13,28,48,18,4,10,9,10,5,09/03/2020 14:26
92,FSM,61.24756,24,12,28,12,62,58,21,5,12,15,16,8,09/03/2020 14:27
93,FUSM,50.09375,25,12,25,10,25,25,17,5,8,10,12,4,09/03/2020 14:27
94,FSM,50.31592,27,13,29,12,23,18,22,5,8,12,12,6,09/03/2020 14:27
95,FUSM,54.86768,26,12,24,12,45,43,21,5,11,8,9,5,09/03/2020 14:27
96,FUSM,51.35107,18,13,20,10,44,41,15,4,10,8,9,3,09/03/2020 14:27
97,FSM,71.13574,32,12,33,12,86,87,27,7,9,6,9,7,09/03/2020 14:27
98,FSM,40.33887,18,9,19,13,42,40,15,4,6,3,6,3,09/03/2020 14:27
99,FUSM,50.53027,24,12,25,11,28,27,19,5,10,11,11,4,09/03/2020 14:27
100,FUSM,35.04297,19,13,20,10,14,12,14,4,6,6,8,3,09/03/2020 14:27
